Action,Year,Venue,Rating,Paper,Type,Core Idea,Parents,Source,Notes
ADD,2025,PRL,CAS-Q3,Temporal aggregation for realtime RGBT tracking via fast decision-level fusion,RGB-T,Temporal Aggregation,,User-provided reference list,"Updated from earlier arXiv-style temporal aggregation entry to avoid duplicate candidate. Venue: Pattern Recognition Letters."
UPDATE_PARENTS,2025,AAAI,CCF-A,Exploiting multimodal spatial-temporal patterns for video object tracking,Any-modality,Spatial-temporal Patterns,"44, 55, 60, 64, 73, 81, 91",User-provided reference list,"Target main sheet row: 30. Also cites Temporal aggregation for adaptive rgbt tracking, pending row number after merge."
UPDATE_PARENTS,2025,ICCV,CCF-A,What You Have is What You Track: Adaptive and Robust Multimodal Tracking,Any-modality,"Adaptive Tracking, Missing Modality","30, 48, 87, 91, 96, 108",User-provided reference list,"Target main sheet row: 32. Includes Any-modality papers when they support RGB-T scenarios."
UPDATE_PARENTS,2025,ICCV,CCF-A,XTrack: Multimodal Training Boosts RGB-X Video Object Trackers,Any-modality,Multimodal Training,"42, 48, 64, 87, 92, 93, 96, 98",User-provided reference list,"Target main sheet row: 33. Includes Any-modality papers when they support RGB-T scenarios."
UPDATE_PARENTS,2025,TAI,CAS-Q2,Adaptive Perception for Unified Visual Multi-modal Object Tracking,Any-modality,Adaptive Perception,"42, 43, 48, 49, 64, 70, 82, 87, 96, 97",User-provided reference list,"Target main sheet row: 35. Includes Any-modality papers when they support RGB-T scenarios."
ADD,2022,TMM,CAS-Q1,Multimodal cross-layer bilinear pooling for RGBT tracking,RGB-T,Cross-layer Bilinear Pooling,,User-provided reference list,"New entry not found in main sheet during reference matching."
ADD,2021,TIV,CAS-Q1,Quality-aware feature aggregation network for robust RGBT tracking,RGB-T,Quality-aware Feature Aggregation,,User-provided reference list,"New entry not found in main sheet during reference matching."
UPDATE_PARENTS,2025,TIP,CAS-Q1,"Revisiting RGBT tracking benchmarks from the perspective of modality validity: A new benchmark, problem, and solution",RGB-T,"Benchmark, Modality Validity","41, 42, 43, 54, 55, 64, 70, 72, 81, 86, 87, 89, 94, 95, 96, 97, 98, 113",User-provided reference list,"Target main sheet row: 36. Pending new row numbers after merge: Temporal aggregation for realtime RGBT tracking via fast decision-level fusion; Multimodal cross-layer bilinear pooling for RGBT tracking; Quality-aware feature aggregation network for robust RGBT tracking."
ADD,2024,SIVP,CAS-Q4,Learning a multimodal feature transformer for RGBT tracking,RGB-T,Multimodal Feature Transformer,,User-provided reference list,"New entry not found in main sheet during reference matching. Journal: Signal Image and Video Processing."
UPDATE_PARENTS,2025,Applied Intelligence,CAS-Q2,IAMTrack: interframe appearance and modality tokens propagation with temporal modeling for RGBT tracking,RGB-T,"Token Propagation, Temporal Modeling","42, 44, 71, 79, 86, 90, 113, 114",User-provided reference list,"Target main sheet row: 37. Pending new row numbers after merge: Learning a multimodal feature transformer for RGBT tracking; Multimodal cross-layer bilinear pooling for RGBT tracking."
UPDATE_PARENTS,2025,PR,CAS-Q1,UniRTL: A universal RGBT and low-light benchmark for object tracking,RGB-T,"Benchmark, Low-light","64, 72, 81, 84, 87, 90, 94, 96, 97, 98",User-provided reference list,"Target main sheet row: 38. Excluded Heterogeneous graph transformer for multiple tiny object tracking in RGB-T videos because it is RGB-T multiple object/tiny object tracking, not SOT."
UPDATE_PARENTS,2025,AAAI,CCF-A,SUTrack: Towards simple and unified single object tracking,Unified,"Unified Tracking, SUTrack","48, 49, 81, 87, 96",User-provided reference list,"Target main sheet row: 39. Includes Any-modality papers when they support RGB-T scenarios."
ADD,2023,Information Fusion,CAS-Q1,Multi-modal multi-task feature fusion for RGBT tracking,RGB-T,"Multi-task Feature Fusion",,User-provided reference list,"New entry not found in main sheet during reference matching."
ADD,2022,AAAI,CCF-A,Cross-modal object tracking: Modality-aware representations and a unified benchmark,Any-modality,"Modality-aware Representation, Unified Benchmark",,User-provided reference list,"New entry not found in main sheet during reference matching. Covers RGB-T/RGB-NIR cross-modal scenarios."
UPDATE_PARENTS,2025,Information Fusion,CAS-Q1,Prototype-based cross-modal object tracking,Any-modality,Prototype-based Tracking,"63, 72, 86, 87, 96, 97, 98",User-provided reference list,"Target main sheet row: 40. Pending new row numbers after merge: Multi-modal multi-task feature fusion for RGBT tracking; Cross-modal object tracking: Modality-aware representations and a unified benchmark."
