zotero_itemID	zotero_key	zotero_type	zotero_title	zotero_date	excel_row	excel_year	excel_venue	excel_rating	excel_type	excel_core	match_score	proposed_tags	existing_tags
3321	43ZGQB64	conferencePaper	Unified multimodal visual tracking with dual mixture-of-experts	2026-05-05 2026/05/05	15	2026	ICML	CCF-A	Unified	Unified Tracking, Token Routing (MoE)	1.000	task:RGB-X/Any-Modality; scope:SOT; arch:Transformer/ViT; fusion:MoE/Routing; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	RGB-T
3316	YXEPQG7X	conferencePaper	UTPTrack: Towards simple and unified token pruning for visual tracking	2026-02-27 2026/02/27	14	2026	CVPR	CCF-A	Unified	Unified Tracking, Token Pruning	1.000	task:RGB-X/Any-Modality; scope:SOT; arch:Transformer/ViT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	RGB-T
3311	477BET86	journalArticle	Unaligned UAV RGBT tracking: A largescale benchmark and a novel approach	2026-03-14 2026-03-14	7	2026	AAAI	CCF-A	RGB-T	Unaligned RGBT, Modality Alignment; Datasets: LUART	0.992	task:RGB-T; scope:SOT; fusion:Alignment/Deformable; role:Dataset/Benchmark; dataset:LUART; problem:UAV/Drone; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	RGB-T; UAV
3253	4LLAMZAL	journalArticle	Tracking and segmenting anything in any modality	2026-03-14 2026-03-14	6	2026	AAAI	CCF-A	Any-modality	Unified Tracking, Token Routing (MoE)	1.000	task:RGB-X/Any-Modality; scope:Tracking+Segmentation; arch:Transformer/ViT; fusion:MoE/Routing; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	ai-processed
3306	YM5S9D3W	journalArticle	Semantic feature purification for adversarially-aware RGB-T tracking	2026-03-14 2026-03-14	5	2026	AAAI	CCF-A	RGB-T	Robust Tracking, Adversarial Defense	1.000	task:RGB-T; scope:SOT; problem:Adversarial/Robustness; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT	RGB-T
3301	4DGQRXD6	journalArticle	Group orthogonal low-rank adaptation for RGB-T tracking	2026-03-14 2026-03-14	4	2026	AAAI	CCF-A	RGB-T	LoRA / PEFT	1.000	task:RGB-T; scope:SOT; fusion:Prompt/Adapter/PEFT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	RGB-T; ai-processed
3248	Y2X6EK6C	journalArticle	CADTrack: Learning contextual aggregation with deformable alignment for robust RGBT tracking	2026-03-14 2026-03-14	2	2026	AAAI	CCF-A	RGB-T	Mamba / SSM, Modality Alignment	1.000	task:RGB-T; scope:SOT; arch:Mamba/SSM; fusion:Alignment/Deformable; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	ai-processed
3334	UNUGGY4M	journalArticle	IAMTrack: Interframe appearance and modality tokens propagation with temporal modeling for RGBT tracking	2025-03-26 2025-03-26	37	2025	Applied Intelligence	CAS-Q2	RGB-T	Token Propagation, Temporal Modeling	1.000	task:RGB-T; scope:SOT; arch:Transformer/ViT; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT	Interframe information; Multimodal fusion transformer; RGBT tracking; Temporal adaptive tokens; ai-processed
3336	YIRDJSNX	journalArticle	Adaptive perception for unified visual multimodal object tracking	2025-10-00 2025-10	36	2025	TAI	CAS-Q2	Any-modality	Adaptive Perception, Unified Tracking	0.992	task:RGB-X/Any-Modality; scope:SOT; fusion:Adaptive/Dynamic; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	Accuracy; Adaptation models; Adaptive systems; Artificial intelligence; Benchmark testing; Data mining; Multimodal tracking; Object tracking; Robustness; Target tracking; Training; ai-processed; visual object tracking (VOT)
3345	676DCWT8	journalArticle	MambaVT: Spatio-temporal contextual modeling for robust RGB-T tracking	2025-09-00 2025-09	35	2025	TCSVT	CAS-Q2	RGB-T	Mamba / SSM, Spatio-temporal	0.992	task:RGB-T; scope:SOT; arch:Mamba/SSM; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	Adaptation models; Biological system modeling; Computational modeling; Context modeling; Feature extraction; Mamba; RGB-T; Target tracking; Trajectory; Transformers; ai-processed; spatio-temporal modeling
3326	BXUKJFD9	journalArticle	Prototype-based cross-modal object tracking	2025-06-00 06/2025	34	2025	Information Fusion	CAS-Q1	Any-modality	Prototype-based Tracking, Cross-modal	1.000	task:RGB-X/Any-Modality; scope:SOT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	Cross-modal object tracking; Multi-modal prototype; Prototype classification; Prototype evaluation; Prototype learning; ai-processed
3330	79V5MHDC	journalArticle	UniRTL: A universal RGBT and low-light benchmark for object tracking	2025-02-00 02/2025	33	2025	PR	CAS-Q1	RGB-T	Benchmark, Low-light; Datasets: UniRTL	1.000	task:RGB-T; scope:SOT; role:Dataset/Benchmark; dataset:UniRTL; problem:Low-Light; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	Multitask benchmark; RGBT and low-light benchmark; RGBT and low-light image; Unified object tracking; ai-processed
3335	DPFCV8QP	journalArticle	Revisiting RGBT tracking benchmarks from the perspective of modality validity: A new benchmark, problem, and solution	2025-00-00 2025	32	2025	TIP	CAS-Q1	RGB-T	Benchmark, Modality Validity; Datasets: MV-RGBT	1.000	task:RGB-T; scope:SOT; role:Dataset/Benchmark; dataset:MV-RGBT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	Artificial intelligence; Benchmark testing; Data mining; Fuses; Object tracking; RGBT tracking; Robustness; Thermal sensors; Training; Videos; Visualization; ai-processed; dense fusion; mixture of experts; multi-modal warranting scenarios; when to fuse
3346	27I44LMM	journalArticle	Dual-level modality de-biasing for RGB-T tracking	2025-00-00 2025	31	2025	TIP	CAS-Q1	RGB-T	Modality De-biasing	0.989	task:RGB-T; scope:SOT; fusion:Decoupling/Debiasing; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT	Adaptation models; Computational modeling; Data mining; Feature extraction; Object tracking; RGB-T; Target tracking; Training; Transformers; Tuning; Visualization; adapters; ai-processed; de-biasing; knowledge distillation
3292	9N95KR2J	journalArticle	Template-based uncertainty multimodal fusion network for RGBT tracking	2025-00-00 2025	30	2025	IJCAI	CCF-B	RGB-T	Robust Tracking, Uncertainty-aware	1.000	task:RGB-T; scope:SOT; fusion:Reliability/Missing-Modality; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT	RGB-T
3268	H7GFN9IP	conferencePaper	Serial over parallel: Learning continual unification for multi-modal visual object tracking and benchmarking	2025-10-27 2025-10-27	29	2025	ACM MM	CCF-A	Unified	Unified Tracking, Foundation Tracker; Datasets: UniBench300	1.000	task:RGB-X/Any-Modality; scope:SOT; arch:Foundation/Generalist; role:Dataset/Benchmark; dataset:UniBench300; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	ai-processed
3340	3A75KUXU	conferencePaper	XTrack: Multimodal training boosts RGB-X video object trackers	2025-00-00 2025	28	2025	ICCV	CCF-A	Any-modality	Multimodal Training	1.000	task:RGB-X/Any-Modality; scope:SOT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	ai-processed
3341	DKJNFXYR	conferencePaper	What you have is what you track: Adaptive and robust multimodal tracking	2025-00-00 2025	27	2025	ICCV	CCF-A	Any-modality	Adaptive Tracking, Missing Modality	1.000	task:RGB-X/Any-Modality; scope:SOT; fusion:Reliability/Missing-Modality; fusion:Adaptive/Dynamic; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	ai-processed
3296	NF8WCJ3E	journalArticle	Collaborating vision, depth, and thermal signals for multi-modal tracking: Dataset and algorithm	2026-04-23 2026-04-23	26	2025	NeurIPS	CCF-A	Any-modality	Prompt Tuning, Unified Tracking; Datasets: RGBDT500	1.000	task:RGB-T; task:RGB-D; task:RGB-X/Any-Modality; scope:SOT; fusion:Prompt/Adapter/PEFT; role:Dataset/Benchmark; dataset:RGBDT500; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	RGB-T
3286	QYNVZTRK	webpage	CSTrack: Enhancing RGB-X tracking via compact spatiotemporal features	2025-05-26 2025/05/26	25	2025	ICML	CCF-A	Any-modality	Unified Tracking, Spatiotemporal Fusion	1.000	task:RGB-X/Any-Modality; scope:SOT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	RGB-T
3276	QY2X657T	conferencePaper	PURA: Parameter update-recovery test-time adaption for RGB-T tracking	2025-00-00 2025	24	2025	CVPR	CCF-A	RGB-T	Robust Tracking, Test-Time Adaptation	1.000	task:RGB-T; scope:SOT; fusion:Prompt/Adapter/PEFT; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT	RGB-T
3281	UIXWVB3U	conferencePaper	MUST: The first dataset and unified framework for multispectral UAV single object tracking	2025-00-00 2025	23	2025	CVPR	CCF-A	Unified	Unified Tracking, Prompt Tuning; Datasets: MUST	1.000	task:RGB-X/Any-Modality; scope:SOT; fusion:Prompt/Adapter/PEFT; role:Dataset/Benchmark; dataset:MUST; problem:UAV/Drone; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	UAV
3271	KBRNTXPR	conferencePaper	ACAttack: Adaptive cross attacking RGB-T tracker via multi-modal response decoupling	2025-00-00 2025	22	2025	CVPR	CCF-A	RGB-T	Robust Tracking, Adversarial Attack	1.000	task:RGB-T; scope:SOT; fusion:Decoupling/Debiasing; fusion:Adaptive/Dynamic; problem:Adversarial/Robustness; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT	RGB-T; ai-processed
3342	FKBY78HA	conferencePaper	DreamTrack: Dreaming the future for multimodal visual object tracking	2025-00-00 2025	21	2025	CVPR	CCF-A	Idea-only / Not RGB-T	NOT RGB-T input; keep for future-dreaming temporal idea	1.000	task:Non-RGBT-Idea; role:Idea-Only; scope:SOT; tier:T3-Background; status:Skimmed; source:Excel-RGBT-SOT	ai-processed
3328	YT7DZ9X2	journalArticle	SUTrack: Towards simple and unified single object tracking	2025-04-11 2025-04-11	20	2025	AAAI	CCF-A	Unified	Unified Tracking, SUTrack	1.000	task:RGB-X/Any-Modality; scope:SOT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	ai-processed
3242	UU2Y4B3Q	journalArticle	RGBT tracking via all-layer multimodal interactions with progressive fusion mamba	2025-04-11 2025-04-11	19	2025	AAAI	CCF-A	RGB-T	Progressive Fusion, Multimodal Interaction	1.000	task:RGB-T; scope:SOT; arch:Mamba/SSM; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	ai-processed
3343	EPGM5UEV	journalArticle	Exploiting multimodal spatial-temporal patterns for video object tracking	2025-04-11 2025-04-11	18	2025	AAAI	CCF-A	Any-modality	Spatial-temporal Patterns	1.000	task:RGB-X/Any-Modality; scope:SOT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	ai-processed
3258	AT8JWVQK	journalArticle	Cross-modal stealth: A coarse-to-fine attack framework for RGB-T tracker	2025-04-11 2025-04-11	17	2025	AAAI	CCF-A	RGB-T	Robust Tracking, Adversarial Attack	1.000	task:RGB-T; scope:SOT; problem:Adversarial/Robustness; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT	RGB-T
3125	8JYV2XUN	journalArticle	Cross-modulated attention transformer for RGBT tracking	2025-04-11 2025-04-11	16	2025	AAAI	CCF-A	RGB-T	Transformer Fusion, Cross Attention	0.919	task:RGB-T; scope:SOT; arch:Transformer/ViT; fusion:Attention/Cross-Attention; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT	Object Tracking; RGB-T
3201	PY4CS2BD	journalArticle	RGBT tracking via challenge-based appearance disentanglement and interaction	2024-00-00 2024	52	2024	TIP	CAS-Q1	RGB-T	Robust Tracking, Disentanglement	1.000	task:RGB-T; scope:SOT; fusion:Decoupling/Debiasing; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT	Adaptation models; Data models; Feature extraction; Lighting; RGBT tracking; Target tracking; Training; Training data; aggregation interaction; ai-processed; challenge-based appearance disentanglement; guidance interaction; training data generation
1112	FX74N3TJ	preprint	OneTracker: Unifying visual object tracking with foundation models and efficient tuning	2024-03-14 2024-03-14	45	2024	CVPR	CCF-A	Unified	Foundation Models, OneTracker	1.000	scope:SOT; arch:Foundation/Generalist; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT	CV; Object Tracking; RGB-T
3195	N3C68IRQ	conferencePaper	Bridging search region interaction with template for RGB-T tracking	2023-00-00 2023	73	2023	CVPR	CCF-A	RGB-T	Transformer Fusion	1.000	task:RGB-T; scope:SOT; arch:Transformer/ViT; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT	ai-processed
3187	4EB434RC	conferencePaper	MIRNet: A robust RGBT tracking jointly with multi-modal interaction and refinement	2022-07-00 2022-07	101	2022	ICME	CCF-B	RGB-T	Robust Tracking, Modality Alignment	1.000	task:RGB-T; scope:SOT; fusion:Alignment/Deformable; tier:T3-Background; status:Skimmed; source:Excel-RGBT-SOT	Benchmark testing; Estimation; Logic gates; Merging; Optical filters; RGBT tracking; Real-time systems; Redundancy; ai-processed; gate function; multi-modal interaction; optical flow; refinement network
3191	7Q8KVMGD	journalArticle	Duality-gated mutual condition network for RGBT tracking	2025-03-00 2025-03	98	2022	TNNLS	CAS-Q1	RGB-T	Mutual Condition, Gated Fusion	1.000	task:RGB-T; scope:SOT; fusion:Adaptive/Dynamic; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT	Bidirectional feature modulation; Cameras; Computational efficiency; Computational modeling; Learning systems; Noise measurement; RGB-T; Sampling methods; Target tracking; ai-processed; conditional learning; gated scheme
