itemID	excel_row	title	tags
3321	15	Unified multimodal visual tracking with dual mixture-of-experts	task:RGB-X/Any-Modality; scope:SOT; arch:Transformer/ViT; fusion:MoE/Routing; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3316	14	UTPTrack: Towards simple and unified token pruning for visual tracking	task:RGB-X/Any-Modality; scope:SOT; arch:Transformer/ViT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3311	7	Unaligned UAV RGBT tracking: A largescale benchmark and a novel approach	task:RGB-T; scope:SOT; fusion:Alignment/Deformable; role:Dataset/Benchmark; dataset:LUART; problem:UAV/Drone; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3253	6	Tracking and segmenting anything in any modality	task:RGB-X/Any-Modality; scope:Tracking+Segmentation; arch:Transformer/ViT; fusion:MoE/Routing; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3306	5	Semantic feature purification for adversarially-aware RGB-T tracking	task:RGB-T; scope:SOT; problem:Adversarial/Robustness; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT
3301	4	Group orthogonal low-rank adaptation for RGB-T tracking	task:RGB-T; scope:SOT; fusion:Prompt/Adapter/PEFT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3248	2	CADTrack: Learning contextual aggregation with deformable alignment for robust RGBT tracking	task:RGB-T; scope:SOT; arch:Mamba/SSM; fusion:Alignment/Deformable; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3334	37	IAMTrack: Interframe appearance and modality tokens propagation with temporal modeling for RGBT tracking	task:RGB-T; scope:SOT; arch:Transformer/ViT; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT
3336	36	Adaptive perception for unified visual multimodal object tracking	task:RGB-X/Any-Modality; scope:SOT; fusion:Adaptive/Dynamic; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3345	35	MambaVT: Spatio-temporal contextual modeling for robust RGB-T tracking	task:RGB-T; scope:SOT; arch:Mamba/SSM; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3326	34	Prototype-based cross-modal object tracking	task:RGB-X/Any-Modality; scope:SOT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3330	33	UniRTL: A universal RGBT and low-light benchmark for object tracking	task:RGB-T; scope:SOT; role:Dataset/Benchmark; dataset:UniRTL; problem:Low-Light; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3335	32	Revisiting RGBT tracking benchmarks from the perspective of modality validity: A new benchmark, problem, and solution	task:RGB-T; scope:SOT; role:Dataset/Benchmark; dataset:MV-RGBT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3346	31	Dual-level modality de-biasing for RGB-T tracking	task:RGB-T; scope:SOT; fusion:Decoupling/Debiasing; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT
3292	30	Template-based uncertainty multimodal fusion network for RGBT tracking	task:RGB-T; scope:SOT; fusion:Reliability/Missing-Modality; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT
3268	29	Serial over parallel: Learning continual unification for multi-modal visual object tracking and benchmarking	task:RGB-X/Any-Modality; scope:SOT; arch:Foundation/Generalist; role:Dataset/Benchmark; dataset:UniBench300; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3340	28	XTrack: Multimodal training boosts RGB-X video object trackers	task:RGB-X/Any-Modality; scope:SOT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3341	27	What you have is what you track: Adaptive and robust multimodal tracking	task:RGB-X/Any-Modality; scope:SOT; fusion:Reliability/Missing-Modality; fusion:Adaptive/Dynamic; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3296	26	Collaborating vision, depth, and thermal signals for multi-modal tracking: Dataset and algorithm	task:RGB-T; task:RGB-D; task:RGB-X/Any-Modality; scope:SOT; fusion:Prompt/Adapter/PEFT; role:Dataset/Benchmark; dataset:RGBDT500; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3286	25	CSTrack: Enhancing RGB-X tracking via compact spatiotemporal features	task:RGB-X/Any-Modality; scope:SOT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3276	24	PURA: Parameter update-recovery test-time adaption for RGB-T tracking	task:RGB-T; scope:SOT; fusion:Prompt/Adapter/PEFT; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT
3281	23	MUST: The first dataset and unified framework for multispectral UAV single object tracking	task:RGB-X/Any-Modality; scope:SOT; fusion:Prompt/Adapter/PEFT; role:Dataset/Benchmark; dataset:MUST; problem:UAV/Drone; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3271	22	ACAttack: Adaptive cross attacking RGB-T tracker via multi-modal response decoupling	task:RGB-T; scope:SOT; fusion:Decoupling/Debiasing; fusion:Adaptive/Dynamic; problem:Adversarial/Robustness; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT
3342	21	DreamTrack: Dreaming the future for multimodal visual object tracking	task:Non-RGBT-Idea; role:Idea-Only; scope:SOT; tier:T3-Background; status:Skimmed; source:Excel-RGBT-SOT
3328	20	SUTrack: Towards simple and unified single object tracking	task:RGB-X/Any-Modality; scope:SOT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3242	19	RGBT tracking via all-layer multimodal interactions with progressive fusion mamba	task:RGB-T; scope:SOT; arch:Mamba/SSM; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3343	18	Exploiting multimodal spatial-temporal patterns for video object tracking	task:RGB-X/Any-Modality; scope:SOT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3258	17	Cross-modal stealth: A coarse-to-fine attack framework for RGB-T tracker	task:RGB-T; scope:SOT; problem:Adversarial/Robustness; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT
3125	16	Cross-modulated attention transformer for RGBT tracking	task:RGB-T; scope:SOT; arch:Transformer/ViT; fusion:Attention/Cross-Attention; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT
3201	52	RGBT tracking via challenge-based appearance disentanglement and interaction	task:RGB-T; scope:SOT; fusion:Decoupling/Debiasing; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT
1112	45	OneTracker: Unifying visual object tracking with foundation models and efficient tuning	scope:SOT; arch:Foundation/Generalist; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3195	73	Bridging search region interaction with template for RGB-T tracking	task:RGB-T; scope:SOT; arch:Transformer/ViT; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT
3187	101	MIRNet: A robust RGBT tracking jointly with multi-modal interaction and refinement	task:RGB-T; scope:SOT; fusion:Alignment/Deformable; tier:T3-Background; status:Skimmed; source:Excel-RGBT-SOT
3191	98	Duality-gated mutual condition network for RGBT tracking	task:RGB-T; scope:SOT; fusion:Adaptive/Dynamic; tier:T2-Inspiration; status:Skimmed; source:Excel-RGBT-SOT
2324	92	LasHeR: A large-scale high-diversity benchmark for RGBT tracking	task:RGB-T; scope:SOT; role:Dataset/Benchmark; dataset:LasHeR; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
2325	92	LasHeR: A large-scale high-diversity benchmark for RGBT tracking	task:RGB-T; scope:SOT; role:Dataset/Benchmark; dataset:LasHeR; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
2322	90	Visible-thermal UAV tracking: A large-scale benchmark and new baseline	task:RGB-T; scope:SOT; role:Dataset/Benchmark; dataset:VTUAV; problem:UAV/Drone; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3183	106	RGBT tracking via multi-adapter network with hierarchical divergence loss	task:RGB-T; scope:SOT; fusion:Prompt/Adapter/PEFT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3175	113	Challenge-aware RGBT tracking	task:RGB-T; scope:SOT; tier:T3-Background; status:Skimmed; source:Excel-RGBT-SOT
3171	124	Multi-adapter RGBT tracking	task:RGB-T; scope:SOT; fusion:Prompt/Adapter/PEFT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3169	123	Deep adaptive fusion network for high performance RGBT tracking	task:RGB-T; scope:SOT; fusion:Adaptive/Dynamic; tier:T3-Background; status:Skimmed; source:Excel-RGBT-SOT
2326	121	RGB-T object tracking:Benchmark and baseline	task:RGB-T; scope:SOT; role:Dataset/Benchmark; dataset:RGBT210; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
3166	142	Weighted sparse representation regularized graph learning for RGB-T object tracking	task:RGB-T; scope:SOT; arch:Traditional/Sparse-Graph-CF; tier:T3-Background; status:Skimmed; source:Excel-RGBT-SOT
3152	144	Learning collaborative sparse representation for grayscale-thermal tracking	task:RGB-T; scope:SOT; arch:Traditional/Sparse-Graph-CF; role:Dataset/Benchmark; dataset:GTOT; tier:T1-Baseline; status:Skimmed; source:Excel-RGBT-SOT
