row	year	venue	rating	paper	type	core_idea
2	2026	AAAI	CCF-A	CADTrack: Learning Contextual Aggregation with Deformable Alignment for Robust RGBT Tracking	RGB-T	Mamba / SSM, Modality Alignment
3	2026	AAAI	CCF-A	Tracking and Segmenting Anything in Any Modality	Any-modality	Unified Tracking, Token Routing (MoE)
4	2026	AAAI	CCF-A	Group Orthogonal Low-Rank Adaptation for RGB-T Tracking	RGB-T	LoRA / PEFT
5	2026	AAAI	CCF-A	Semantic Feature Purification for Adversarially-Aware RGB-T Tracking	RGB-T	Robust Tracking, Adversarial Defense
6	2026	AAAI	CCF-A	Unaligned UAV RGBT Tracking: A Large-scale Benchmark and a Novel Approach	RGB-T	Unaligned RGBT, Modality Alignment
7	2026	CVPR	CCF-A	Progressive Multi-cue Alignment for Unaligned RGBT Tracking	RGB-T	Unaligned RGBT, Modality Alignment
8	2026	CVPR	CCF-A	Spatio-Temporal Conditional Denoising Transformer for Modality-Missing RGBT Tracking	RGB-T	Robust Tracking, Modality-Missing
9	2026	CVPR	CCF-A	Dynamic Disentangled Fusion Network for RGBT Tracking (DDFNet)	RGB-T	Modality Alignment, Dynamic Fusion
10	2026	CVPR	CCF-A	UTPTrack: Towards Simple and Unified Token Pruning for Visual Tracking	Unified	Unified Tracking, Token Pruning
11	2026	ICML	CCF-A	 Unified Multimodal Visual Tracking with Dual Mixture-of-Experts	Unified	Unified Tracking, Token Routing (MoE)
12	2025	AAAI	CCF-A	CAFormer: Cross-modulated Attention Transformer for RGBT Tracking	RGB-T	Transformer Fusion, Cross Attention
13	2025	AAAI	CCF-A	RGBT Tracking via All-layer Multimodal Interactions with Progressive Fusion Mamba	RGB-T	Progressive Fusion, Multimodal Interaction
14	2025	AAAI	CCF-A	Robust RGB-T Tracking via Modality-aware Feature Decoupling	RGB-T	Robust Tracking, Feature Decoupling
15	2025	AAAI	CCF-A	Efficient Adapter-based RGBT Tracking	RGB-T	LoRA / PEFT, Adapter
16	2025	AAAI	CCF-A	Cross-Modal Stealth: A Coarse-to-Fine Attack Framework for RGB-T Tracker	RGB-T	Robust Tracking, Adversarial Attack
